epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,8900.62,0.46728,0.33628,0.88554,0.97029,0.99407,0.9937,0.91499,0.4151,0.24137,0.84809,0.000424187,0.000424187,0.000424187
166,8953.76,0.46199,0.33581,0.8923,0.96912,0.9939,0.99373,0.92612,0.39799,0.25219,0.84288,0.00042242,0.00042242,0.00042242
167,9007.31,0.45283,0.31826,0.88002,0.9652,0.9939,0.99395,0.91198,0.44349,0.2628,0.86024,0.000420653,0.000420653,0.000420653
168,9059.46,0.45507,0.3518,0.87291,0.97166,0.9939,0.99381,0.92398,0.39854,0.25196,0.84445,0.000418886,0.000418886,0.000418886
169,9112.35,0.44317,0.31866,0.87026,0.97164,0.99656,0.99381,0.9183,0.41334,0.2444,0.85003,0.000417119,0.000417119,0.000417119
170,9165.73,0.45383,0.35411,0.88441,0.97335,0.99269,0.99255,0.90248,0.45781,0.25087,0.86769,0.000415352,0.000415352,0.000415352
171,9217.65,0.46136,0.35726,0.87269,0.97022,0.99605,0.9935,0.90957,0.43838,0.2653,0.85644,0.000413584,0.000413584,0.000413584
172,9269.97,0.45488,0.32425,0.88239,0.9749,0.99497,0.994,0.90523,0.43114,0.24933,0.85335,0.000411817,0.000411817,0.000411817
173,9322.53,0.44083,0.33153,0.86914,0.97504,0.98666,0.99416,0.91605,0.44538,0.24367,0.85759,0.00041005,0.00041005,0.00041005
174,9374.77,0.45137,0.3391,0.86654,0.97177,0.99374,0.994,0.94011,0.38036,0.24278,0.83496,0.000408283,0.000408283,0.000408283
175,9427.45,0.45571,0.35622,0.89038,0.97056,0.99667,0.99423,0.92133,0.41423,0.23572,0.84584,0.000406516,0.000406516,0.000406516
176,9480.13,0.42752,0.35212,0.85982,0.94957,0.99695,0.99376,0.92093,0.40938,0.24943,0.84574,0.000404749,0.000404749,0.000404749
